1, 1, 0.000021, 96763.270087, 0.000010, 
1, 2, 0.000436, 9171.388027, 0.000109, 
1, 4, 0.000742, 10779.187011, 0.000093, 
1, 8, 0.001354, 11814.352221, 0.000085, 
1, 16, 0.002518, 12708.428150, 0.000079, 
1, 32, 0.005087, 12581.378419, 0.000079, 
1, 64, 0.009341, 13702.665854, 0.000073, 
1, 128, 0.018617, 13750.731045, 0.000073, 
1, 256, 0.033036, 15498.351771, 0.000065, 
1, 512, 0.064074, 15981.631612, 0.000063, 
2, 1, 0.000125, 32002.048103, 0.000062, 
2, 2, 0.000290, 27633.374190, 0.000072, 
2, 4, 0.000561, 28496.371175, 0.000070, 
2, 8, 0.000992, 32253.024983, 0.000062, 
2, 16, 0.002005, 31918.129992, 0.000063, 
2, 32, 0.004096, 31249.893189, 0.000064, 
2, 64, 0.008000, 32000.084000, 0.000062, 
2, 128, 0.016046, 31908.605776, 0.000063, 
2, 256, 0.034685, 29522.539522, 0.000068, 
2, 512, 0.063943, 32028.510879, 0.000062, 
4, 1, 0.000123, 65256.048418, 0.000061, 
4, 2, 0.000252, 63468.640606, 0.000063, 
4, 4, 0.000508, 62957.053419, 0.000064, 
4, 8, 0.001010, 63365.960209, 0.000063, 
4, 16, 0.002273, 56320.477587, 0.000071, 
4, 32, 0.004008, 63872.685774, 0.000063, 
4, 64, 0.008852, 57838.879635, 0.000069, 
4, 128, 0.016043, 63827.581755, 0.000063, 
4, 256, 0.036403, 56258.727073, 0.000071, 
4, 512, 0.064124, 63876.496790, 0.000063, 
8, 1, 0.000128, 124925.825503, 0.000064, 
8, 2, 0.000256, 125196.597799, 0.000064, 
8, 4, 0.000565, 113276.541679, 0.000071, 
8, 8, 0.001042, 122790.372809, 0.000065, 
8, 16, 0.002290, 111790.441834, 0.000072, 
8, 32, 0.004037, 126828.359607, 0.000063, 
8, 64, 0.009046, 113197.802550, 0.000071, 
8, 128, 0.016023, 127813.735446, 0.000063, 
8, 256, 0.036024, 113702.210026, 0.000070, 
8, 512, 0.064101, 127798.356159, 0.000063, 
16, 1, 0.000130, 246806.935467, 0.000065, 
16, 2, 0.000257, 249466.959333, 0.000064, 
16, 4, 0.000569, 224762.112101, 0.000071, 
16, 8, 0.001046, 244792.189632, 0.000065, 
16, 16, 0.002183, 234487.420583, 0.000068, 
16, 32, 0.004052, 252711.091495, 0.000063, 
16, 64, 0.008627, 237405.785373, 0.000067, 
16, 128, 0.015961, 256619.768821, 0.000062, 
16, 256, 0.036059, 227180.108874, 0.000070, 
16, 512, 0.064046, 255816.691352, 0.000063, 
32, 1, 0.000125, 511954.948337, 0.000063, 
32, 2, 0.000256, 500201.252871, 0.000064, 
32, 4, 0.000564, 453724.529033, 0.000071, 
32, 8, 0.001042, 491275.541417, 0.000065, 
32, 16, 0.002165, 472976.811618, 0.000068, 
32, 32, 0.004026, 508687.680166, 0.000063, 
32, 64, 0.009302, 440340.476947, 0.000073, 
32, 128, 0.015952, 513526.167675, 0.000062, 
32, 256, 0.035707, 458849.292570, 0.000070, 
32, 512, 0.063981, 512150.612290, 0.000062, 
64, 1, 0.000129, 990658.400094, 0.000065, 
64, 2, 0.000258, 993399.327090, 0.000064, 
64, 4, 0.000564, 907606.701359, 0.000071, 
64, 8, 0.001047, 977982.033748, 0.000065, 
64, 16, 0.002174, 942106.454177, 0.000068, 
64, 32, 0.004044, 1012819.235269, 0.000063, 
64, 64, 0.009064, 903777.585122, 0.000071, 
64, 128, 0.015967, 1026146.570371, 0.000062, 
64, 256, 0.036545, 896635.774314, 0.000071, 
64, 512, 0.063915, 1025360.525243, 0.000062, 
128, 1, 0.000123, 2073378.143674, 0.000062, 
128, 2, 0.000244, 2098025.316649, 0.000061, 
128, 4, 0.000560, 1827207.548399, 0.000070, 
128, 8, 0.001029, 1989676.608878, 0.000064, 
128, 16, 0.002251, 1819547.609565, 0.000070, 
128, 32, 0.004005, 2045636.778268, 0.000063, 
