1, 1, 0.000144, 13888.020866, 0.000072, 0.000178, 11217.679069, 0.000089
1, 2, 0.000182, 21981.403725, 0.000045, 0.000184, 21757.458751, 0.000046
1, 4, 0.000494, 16192.988034, 0.000062, 0.000428, 18709.773980, 0.000053
1, 8, 0.001039, 15396.458812, 0.000065, 0.000785, 20391.283236, 0.000049
1, 16, 0.002046, 15643.760290, 0.000064, 0.001524, 20996.893118, 0.000048
1, 32, 0.004064, 15746.659862, 0.000064, 0.002947, 21716.455032, 0.000046
1, 64, 0.008532, 15002.899779, 0.000067, 0.005903, 21682.813304, 0.000046
1, 128, 0.016081, 15919.299103, 0.000063, 0.011642, 21990.212122, 0.000045
1, 256, 0.033154, 15443.208160, 0.000065, 0.023481, 21804.983299, 0.000046
1, 512, 0.064026, 15993.507885, 0.000063, 0.046392, 22072.855858, 0.000045
2, 1, 0.000056, 71214.926774, 0.000028, 0.000183, 21897.770261, 0.000091
2, 2, 0.000244, 32732.822442, 0.000061, 0.000183, 43739.748490, 0.000046
2, 4, 0.000498, 32158.218437, 0.000062, 0.000427, 37503.838278, 0.000053
2, 8, 0.000991, 32305.871994, 0.000062, 0.000744, 43038.461590, 0.000046
2, 16, 0.002020, 31683.168315, 0.000063, 0.001507, 42455.633865, 0.000047
2, 32, 0.003986, 32109.984725, 0.000062, 0.002998, 42695.671258, 0.000047
2, 64, 0.007963, 32147.613806, 0.000062, 0.005818, 44002.048159, 0.000045
2, 128, 0.016057, 31885.526973, 0.000063, 0.011669, 43877.408919, 0.000046
2, 256, 0.031973, 32026.819459, 0.000062, 0.023336, 43881.376298, 0.000046
2, 512, 0.064534, 31735.327370, 0.000063, 0.046457, 44084.069612, 0.000045
4, 1, 0.000058, 137120.134697, 0.000029, 0.000178, 45017.416138, 0.000089
4, 2, 0.000235, 68090.611596, 0.000059, 0.000250, 63938.107913, 0.000063
4, 4, 0.000429, 74515.648275, 0.000054, 0.000367, 87093.078019, 0.000046
4, 8, 0.001013, 63205.694037, 0.000063, 0.000773, 82800.627741, 0.000048
4, 16, 0.001981, 64608.580524, 0.000062, 0.001452, 88133.996721, 0.000045
4, 32, 0.004017, 63734.069593, 0.000063, 0.002901, 88254.528818, 0.000045
4, 64, 0.007951, 64392.245363, 0.000062, 0.005876, 87138.257099, 0.000046
4, 128, 0.015942, 64233.392030, 0.000062, 0.011655, 87857.162100, 0.000046
4, 256, 0.031993, 64014.731390, 0.000062, 0.023198, 88284.918884, 0.000045
4, 512, 0.064052, 63948.190974, 0.000063, 0.046446, 88187.644015, 0.000045
8, 1, 0.000054, 296093.417873, 0.000027, 0.000183, 87360.087415, 0.000092
8, 2, 0.000238, 134711.885012, 0.000059, 0.000185, 172627.717488, 0.000046
8, 4, 0.000521, 122867.339751, 0.000065, 0.000421, 152157.787652, 0.000053
8, 8, 0.000983, 130151.138020, 0.000061, 0.000794, 161168.877284, 0.000050
8, 16, 0.001989, 128737.278400, 0.000062, 0.001469, 174242.589241, 0.000046
8, 32, 0.004013, 127599.274483, 0.000063, 0.002915, 175629.246656, 0.000046
8, 64, 0.008046, 127272.889978, 0.000063, 0.005930, 172675.952836, 0.000046
8, 128, 0.016179, 126582.654022, 0.000063, 0.011795, 173630.068931, 0.000046
8, 256, 0.031936, 128257.488933, 0.000062, 0.023398, 175056.358017, 0.000046
8, 512, 0.064095, 127810.417211, 0.000063, 0.046888, 174715.166506, 0.000046
16, 1, 0.000052, 616760.466146, 0.000026, 0.000182, 175356.878556, 0.000091
16, 2, 0.000239, 267499.258087, 0.000060, 0.000240, 267003.758804, 0.000060
